"Feature Name","Feature Description",Industry,Usecase
"Carrier On-timePickup","Indicator of ontime Pickup (1 indicates True; 0 indicates False)",gaming,"customer churn prediction"
"Carrier On-timeDelivery","Indicator of On-time Delivery (1 indicates True; 0 indicates False)",gaming,"customer churn prediction"
"Pickup LoadAction","Loading type at origin ('Drop &Hook’  or 'Live Load')",gaming,"customer churn prediction"
"Delivery LoadAction","Unloading at destination location ('Drop & Hook' or 'Live Unload')",gaming,"customer churn prediction"
"Origin MarketStrength Indicator","Rating by the carrier of the level of business at the origin (1=Under Sold,2=Normal, 3=Over Sold, 4=Restricted)",gaming,"customer churn prediction"
"Destination MarketStrength Indicator","Rating by the carrier of the level of business at the destination (1=Under Sold,2=Normal, 3=Over Sold, 4=Restricted)",gaming,"customer churn prediction"
Profit,"The Profit of a shipment based on a monthly view of costs, prices, and networkand market impacts.  This view of contribution is used for longer term pricing asopposed to daily, dynamic acceptance.",gaming,"customer churn prediction"
LOH,"Length of Haul, in miles",gaming,"customer churn prediction"
"Characters Level","Highest level of character before and after the event",gaming,"customer churn prediction"
Itempurchasefrequency,"Number of purchases in store",gaming,"customer churn prediction"
"Game-playingtime band","Time band with the largest number of activity logs for two weeks",gaming,"customer churn prediction"
first_present_transaction_time,"Time shows the time gap between the first transaction and the following one.",gaming,"customer churn prediction"
device.id,"Unique device id assigned by smartphone manufacturer (used as unique user id)",gaming,"customer churn prediction"
event,"Type of this record (play or purchase)",gaming,"customer churn prediction"
score,"Score of the play (when event is play)",gaming,"customer churn prediction"
purchase.price,"Purchase price (when event is purchase)",gaming,"customer churn prediction"
id,"Unique user ID (log-in ID)",gaming,"customer churn prediction"
play.id,"Unique ID of the play",gaming,"customer churn prediction"
play.duration,"Duration of the play",gaming,"customer churn prediction"
win,"Team’s win or loss",gaming,"customer churn prediction"
points,"Points earned from the play (accumulated points are used to rank players and announce topleaders in a leaderboard)",gaming,"customer churn prediction"
activeDuration,"Time difference between the last play and the first play in OP, the same as the relative time ofthe last play",gaming,"customer churn prediction"
bestScore,"Best score earned in OP",gaming,"customer churn prediction"
bestScoreIndex,"Index of the best score normalized by play count",gaming,"customer churn prediction"
bestSubMeanCount,"Difference between best score and mean score normalized by play count",gaming,"customer churn prediction"
bestSubMeanRatio,"Ratio between the best score minus mean score and the mean score",gaming,"customer churn prediction"
consecutivePlayRatio,"is less than C, and the total number ofRatio between the count of consecutive plays, where ciadjacent plays (C: a game specific duration threshold to distinguish whether two adjacent playsare consecutive plays or not)(",gaming,"customer churn prediction"
meanScore,"Mean score earned in OP",gaming,"customer churn prediction"
playCount,"Total number of plays of u in OP",gaming,"customer churn prediction"
sdScore,"Standard deviation (SD) of the scores in OP",gaming,"customer churn prediction"
worstScore,"Worst score earned in OP",gaming,"customer churn prediction"
"kyc compliance","KYC compliance",retail,"customer churn prediction"
"recency value","The last time the customer has made a transaction",retail,"customer churn prediction"
"monetary values","The revenue that is gained from a customer during lifecycle",retail,"customer churn prediction"
quarter_frequency,"Average number of transactions by quarter",retail,"customer churn prediction"
quarter_monetary,"Average amount of value spent by customers in each quarter",retail,"customer churn prediction"
"forward category succession dummy variable","Represents a succession of first products' categories purchased in chronological order",retail,"customer churn prediction"
"backward category succession dummy variable","represents a succession of first products' categories purchased in reverse chronological order",retail,"customer churn prediction"
number_products_purchased,"Number of products purchased by customer",retail,"customer churn prediction"
"mean purchased item","Average number of items purchased",retail,"customer churn prediction"
"sum of basket value","Total amount spent in one transaction",retail,"customer churn prediction"
"mean purchased value","Mean amount spent in one transaction",retail,"customer churn prediction"
"total discount","Sum of the discount given in each purchase",retail,"customer churn prediction"
"mean discount","Means Discount given for each basket",retail,"customer churn prediction"
"unique articles","Amount of unique articles purchases in each basket",retail,"customer churn prediction"
"unique categories","Number of different categories purchased in the basket",retail,"customer churn prediction"
retired_flag," is the client retired (1, 0)","banking financial service and insurance","customer churn prediction"
gender,"Gender of the client","banking financial service and insurance","customer churn prediction"
location,"Customer location including city and region","banking financial service and insurance","customer churn prediction"
income,"annual income of customer","banking financial service and insurance","customer churn prediction"
"credit score","A value between 0 and 800 indicating the riskiness of the borrower’s credit history.","banking financial service and insurance","customer churn prediction"
"customer value","How many products & services customers purchase and what kind of revenue that generates for the bank - past, current, and predicted for the future","banking financial service and insurance","customer churn prediction"
activity_flag,"is the client active (1, 0)","banking financial service and insurance","customer churn prediction"
customerid,"contains random values and has no effect on customer leaving the bank.","banking financial service and insurance","customer churn prediction"
surname,"the surname of a customer has no impact on their decision to leave the bank.","banking financial service and insurance","customer churn prediction"
hascrcard,"denotes whether or not a customer has a credit card. This column is also relevant, since people with a credit card are less likely to leave the bank.","banking financial service and insurance","customer churn prediction"
estimatedsalary,"as with balance, people with lower salaries are more likely to leave the bank compared to those with higher salaries.","banking financial service and insurance","customer churn prediction"
education,"Users' education level","banking financial service and insurance","customer churn prediction"
job,"unemployed/unskilled - resident/skilled employee/management/highly qualified employee","banking financial service and insurance","customer churn prediction"
"relationship time with bank","Financial Variables","banking financial service and insurance","customer churn prediction"
atm_transactions,"Number and amount of transactions made by customer through ATM","banking financial service and insurance","customer churn prediction"
ussd_mbs_transactions,"Number and amount of transactions made by customer through USSD-based mobile banking","banking financial service and insurance","customer churn prediction"
mbs_transactions,"Number and amount of transactions made by customer through mobile bank","banking financial service and insurance","customer churn prediction"
telephone_transactions,"Number and amount of transactions made by customer through telephone bank","banking financial service and insurance","customer churn prediction"
inb_transactions,"Number and amount of transactions made by customer through internet bank","banking financial service and insurance","customer churn prediction"
"customer complaint","Number of complaint made by customer","banking financial service and insurance","customer churn prediction"
"length of customer association","Number of years the customer is associated with a bank","banking financial service and insurance","customer churn prediction"
marital_status," is the client married (Yes, No)","banking financial service and insurance","customer churn prediction"
property_saving_insurance,"real estate/ building society savings agreement/life insurance/no property","banking financial service and insurance","customer churn prediction"
"deposits with bank","Money placed into the bank","banking financial service and insurance","customer churn prediction"
"current loan amount","This is the loan amount that was either completely paid off, or the amount that was defaulted.","banking financial service and insurance","customer churn prediction"
"branch debit and credit transactions","Branch Debit and Credit transactions","banking financial service and insurance","customer churn prediction"
"atm transactions","ATM transactions","banking financial service and insurance","customer churn prediction"
"pos transactions","Point of sale transactions","banking financial service and insurance","customer churn prediction"
"e-com transactions","E-COM transactions","banking financial service and insurance","customer churn prediction"
"gcc transactions","Green Channel Counter transactions","banking financial service and insurance","customer churn prediction"
"inb transactions","Internet Banking Transactions","banking financial service and insurance","customer churn prediction"
"mbs transactions","Mobile banking services transactions","banking financial service and insurance","customer churn prediction"
"existing loans","Number and amount of existing loans of the customer","banking financial service and insurance","customer churn prediction"
deposits,"Amount deposit by Customer","banking financial service and insurance","customer churn prediction"
"customer vintage","Customer Vintage","banking financial service and insurance","customer churn prediction"
"joint ventures & investments","Life insurance, General Insurance, Mutual funds, etc.","banking financial service and insurance","customer churn prediction"
"kyc compliance","KYC compliance","banking financial service and insurance","customer churn prediction"
